Airport,Terminal,Date,Hour,Average Wait time (US citizen),Max Wait time (US citizen),Average Wait Time (non-US citizen),Max Wait time (non-US citizen),Average Wait time for all passengers,Max Wait time for all passengers,0-15 min,16-30 min,31-45 min,46-60 min,61-90 min,91-120 min,120 plus min,no. of passengers excluded ,Total,Flights,Booths,,,
ATL,Concourse F,3/26/2022,1400 - 1500,10,48,20,48,14,48,224,113,33,10,0,0,0,11,391,2,15,,,
ATL,Concourse F,3/26/2022,1500 - 1600,16,44,17,44,16,44,435,328,134,0,0,0,0,23,920,5,14,,,
ATL,Concourse F,3/26/2022,1600 - 1700,6,16,14,24,10,24,60,31,0,0,0,0,0,3,94,1,13,,,
ATL,Concourse F,3/26/2022,1800 - 1900,11,27,14,29,11,29,605,275,0,0,0,0,0,28,908,4,15,,,
ATL,Concourse F,3/26/2022,1900 - 2000,6,14,5,14,6,14,169,0,0,0,0,0,0,5,174,1,12,,,
ATL,Concourse F,3/26/2022,2000 - 2100,20,54,27,55,21,55,407,496,261,46,0,0,0,46,1256,7,19,,,
ATL,Concourse F,3/26/2022,2100 - 2200,20,39,27,39,21,39,123,188,128,0,0,0,0,8,447,2,20,,,
ATL,Concourse E,3/27/2022,1400 - 1500,4,19,6,20,4,20,207,12,0,0,0,0,0,7,226,1,19,,,
ATL,Concourse E,3/27/2022,1500 - 1600,4,18,6,21,5,21,523,34,0,0,0,0,0,15,572,3,25,,,
ATL,Concourse E,3/27/2022,1600 - 1700,9,38,10,31,9,38,738,228,12,0,0,0,0,27,1005,6,22,,,
ATL,Concourse E,3/27/2022,1700 - 1800,8,41,20,71,11,71,897,194,39,38,9,0,0,37,1214,6,24,,,
ATL,Concourse E,3/27/2022,1800 - 1900,16,57,22,82,17,82,609,559,131,6,30,0,0,39,1374,8,24,,,
ATL,Concourse E,3/27/2022,1900 - 2000,8,36,13,43,9,43,376,105,17,0,0,0,0,14,512,3,22,,,
ATL,Concourse F,3/27/2022,0500 - 0600,6,18,6,18,6,18,329,21,0,0,0,0,0,9,359,2,10,,,
ATL,Concourse F,3/27/2022,0600 - 0700,1,13,4,12,2,13,399,0,0,0,0,0,0,7,406,2,10,,,
ATL,Concourse F,3/27/2022,0700 - 0800,8,20,9,20,8,20,188,61,0,0,0,0,0,7,256,1,8,,,
ATL,Concourse F,3/27/2022,0900 - 1000,8,24,23,41,15,41,215,125,67,0,0,0,0,16,423,2,9,,,
ATL,Concourse F,3/27/2022,1000 - 1100,6,20,5,11,6,20,190,8,0,0,0,0,0,0,198,1,7,,,
ATL,Concourse F,3/27/2022,1100 - 1200,12,46,19,52,14,52,260,106,70,10,0,0,0,15,461,2,7,,,
ATL,Concourse F,3/27/2022,1200 - 1300,16,31,21,31,17,31,134,258,11,0,0,0,0,7,410,2,13,,,
ATL,Concourse F,3/27/2022,1300 - 1400,13,49,23,65,17,65,719,293,160,80,14,0,0,37,1303,6,17,,,
ATL,Concourse F,3/27/2022,1400 - 1500,12,36,27,39,17,39,247,244,96,0,0,0,0,18,605,3,17,,,
ATL,Concourse F,3/27/2022,1600 - 1700,12,52,17,51,13,52,305,86,53,9,0,0,0,13,466,2,16,,,
ATL,Concourse F,3/27/2022,1700 - 1800,26,98,67,99,43,99,71,108,91,60,114,23,0,14,481,2,17,,,
ATL,Concourse F,3/27/2022,1800 - 1900,8,21,54,81,49,81,25,8,15,60,60,0,0,6,174,1,16,,,
ATL,Concourse F,3/27/2022,1900 - 2000,28,66,42,75,30,75,127,338,479,67,19,0,0,29,1059,5,17,,,
ATL,Concourse F,3/27/2022,2000 - 2100,17,46,43,71,23,71,460,608,87,149,52,0,0,38,1394,7,25,,,
ATL,Concourse F,3/27/2022,2100 - 2200,13,19,8,16,13,19,117,66,0,0,0,0,0,5,188,1,18,,,
ATL,Concourse E,3/28/2022,1300 - 1400,5,22,9,24,7,24,222,57,0,0,0,0,0,7,286,1,22,,,
ATL,Concourse E,3/28/2022,1400 - 1500,8,21,11,33,8,33,337,47,5,0,0,0,0,13,402,2,18,,,
ATL,Concourse E,3/28/2022,1500 - 1600,7,25,10,28,8,28,442,124,0,0,0,0,0,17,583,3,22,,,
ATL,Concourse E,3/28/2022,1600 - 1700,6,26,12,26,8,26,587,134,0,0,0,0,0,18,739,5,21,,,
ATL,Concourse E,3/28/2022,1700 - 1800,15,59,28,59,18,59,287,225,121,25,0,0,0,20,678,4,20,,,
ATL,Concourse E,3/28/2022,1800 - 1900,15,38,20,38,15,38,377,474,29,0,0,0,0,23,903,5,20,,,
ATL,Concourse E,3/28/2022,1900 - 2000,14,39,18,40,15,40,267,152,34,0,0,0,0,14,467,3,25,,,
ATL,Concourse F,3/28/2022,0500 - 0600,3,14,7,16,4,16,155,3,0,0,0,0,0,5,163,1,11,,,
ATL,Concourse F,3/28/2022,0600 - 0700,7,32,16,32,11,32,221,108,4,0,0,0,0,8,341,2,11,,,
ATL,Concourse F,3/28/2022,0700 - 0800,5,17,8,19,7,19,218,26,0,0,0,0,0,5,249,1,8,,,
ATL,Concourse F,3/28/2022,0900 - 1000,2,13,9,23,7,23,100,18,0,0,0,0,0,4,122,1,5,,,
ATL,Concourse F,3/28/2022,1000 - 1100,2,9,2,9,2,9,193,0,0,0,0,0,0,6,199,1,6,,,
ATL,Concourse F,3/28/2022,1100 - 1200,7,31,17,48,11,48,358,135,20,6,0,0,0,8,527,3,7,,,
ATL,Concourse F,3/28/2022,1200 - 1300,4,28,16,29,8,29,212,58,0,0,0,0,0,5,275,1,15,,,
ATL,Concourse F,3/28/2022,1300 - 1400,2,18,12,19,7,19,114,32,0,0,0,0,0,1,147,1,16,,,
ATL,Concourse F,3/28/2022,1400 - 1500,11,38,23,46,17,46,426,265,193,2,0,0,0,26,912,4,16,,,
