Airport,Terminal,Date,Hour,Average Wait time (US citizen),Max Wait time (US citizen),Average Wait Time (non-US citizen),Max Wait time (non-US citizen),Average Wait time for all passengers,Max Wait time for all passengers,0-15 min,16-30 min,31-45 min,46-60 min,61-90 min,91-120 min,120 plus min,no. of passengers excluded ,Total,Flights,Booths,,,
ATL,Concourse F,1/15/2022,1000 - 1100,3,10,5,10,3,10,146,0,0,0,0,0,0,1,147,1,6,,,
ATL,Concourse F,1/15/2022,1100 - 1200,3,16,6,16,5,16,93,5,0,0,0,0,0,3,101,1,7,,,
ATL,Concourse F,1/15/2022,1200 - 1300,7,18,8,18,7,18,236,13,0,0,0,0,0,8,257,2,17,,,
ATL,Concourse F,1/15/2022,1300 - 1400,6,20,7,20,7,20,291,33,0,0,0,0,0,10,334,3,18,,,
ATL,Concourse F,1/15/2022,1400 - 1500,7,28,13,30,9,30,696,206,0,0,0,0,0,25,927,5,21,,,
ATL,Concourse F,1/15/2022,1500 - 1600,12,33,15,40,14,40,319,211,27,0,0,0,0,17,574,3,16,,,
ATL,Concourse F,1/15/2022,1600 - 1700,3,20,8,22,7,22,118,20,0,0,0,0,0,4,142,2,11,,,
ATL,Concourse F,1/15/2022,1700 - 1800,15,38,30,61,19,61,247,292,67,35,2,0,0,19,662,4,13,,,
ATL,Concourse F,1/15/2022,1800 - 1900,8,20,7,15,8,20,191,27,0,0,0,0,0,4,222,2,12,,,
ATL,Concourse F,1/15/2022,1900 - 2000,10,19,6,14,10,19,89,12,0,0,0,0,0,7,108,1,13,,,
ATL,Concourse F,1/15/2022,2000 - 2100,21,61,33,69,25,69,297,451,217,69,36,0,0,58,1128,8,21,,,
ATL,Concourse E,1/16/2022,1400 - 1500,5,16,5,16,5,16,160,10,0,0,0,0,0,6,176,1,13,,,
ATL,Concourse E,1/16/2022,1500 - 1600,4,34,0,2,2,34,73,3,2,0,0,0,0,1,79,2,9,,,
ATL,Concourse E,1/16/2022,1600 - 1700,18,37,20,38,18,38,127,177,58,0,0,0,0,8,370,3,13,,,
ATL,Concourse E,1/16/2022,1700 - 1800,7,24,14,41,9,41,376,95,21,0,0,0,0,12,504,5,14,,,
ATL,Concourse E,1/16/2022,1800 - 1900,21,56,26,70,22,70,215,164,99,44,8,0,0,32,562,4,18,,,
ATL,Concourse E,1/16/2022,1900 - 2000,17,51,21,44,18,51,341,50,164,25,0,0,0,29,609,4,20,,,
ATL,Concourse E,1/16/2022,2000 - 2100,12,21,17,21,13,21,60,28,0,0,0,0,0,5,93,1,15,,,
ATL,Concourse F,1/16/2022,0500 - 0600,7,33,7,33,7,33,417,77,26,0,0,0,0,15,535,3,13,,,
ATL,Concourse F,1/16/2022,0600 - 0700,9,34,12,35,11,35,309,86,25,0,0,0,0,11,431,2,13,,,
ATL,Concourse F,1/16/2022,0900 - 1000,2,7,2,5,2,7,85,0,0,0,0,0,0,0,85,1,5,,,
ATL,Concourse F,1/16/2022,1000 - 1100,2,10,5,10,2,10,117,0,0,0,0,0,0,2,119,1,8,,,
ATL,Concourse F,1/16/2022,1100 - 1200,5,18,5,19,5,19,332,17,0,0,0,0,0,11,360,3,9,,,
ATL,Concourse F,1/16/2022,1200 - 1300,2,10,1,5,2,10,80,0,0,0,0,0,0,3,83,1,8,,,
ATL,Concourse F,1/16/2022,1300 - 1400,8,27,10,27,9,27,554,174,0,0,0,0,0,22,750,4,20,,,
ATL,Concourse F,1/16/2022,1400 - 1500,8,32,10,32,9,32,410,113,8,0,0,0,0,13,544,3,17,,,
ATL,Concourse F,1/16/2022,1500 - 1600,2,17,9,26,7,26,54,12,0,0,0,0,0,2,68,1,10,,,
ATL,Concourse F,1/16/2022,1600 - 1700,11,35,19,37,14,37,230,179,18,0,0,0,0,12,439,3,11,,,
ATL,Concourse F,1/16/2022,1700 - 1800,5,30,11,30,7,30,242,47,0,0,0,0,0,8,297,3,10,,,
ATL,Concourse F,1/16/2022,1800 - 1900,25,68,32,80,29,80,101,179,89,50,32,0,0,22,473,3,12,,,
ATL,Concourse F,1/16/2022,1900 - 2000,37,67,44,68,39,68,65,9,240,121,45,0,0,29,509,4,12,,,
ATL,Concourse F,1/16/2022,2000 - 2100,20,38,19,38,20,38,207,313,130,0,0,0,0,32,682,5,19,,,
ATL,Concourse F,1/16/2022,2100 - 2200,14,21,17,21,14,21,95,76,0,0,0,0,0,6,177,1,18,,,
ATL,Concourse E,1/17/2022,1500 - 1600,8,31,7,30,7,31,63,8,3,0,0,0,0,1,75,1,19,,,
ATL,Concourse E,1/17/2022,1600 - 1700,7,27,11,32,8,32,433,114,5,0,0,0,0,18,570,4,19,,,
ATL,Concourse E,1/17/2022,1700 - 1800,10,48,16,49,12,49,405,165,44,6,0,0,0,16,636,5,20,,,
ATL,Concourse E,1/17/2022,1800 - 1900,11,46,13,44,11,46,864,280,102,1,0,0,0,32,1279,7,23,,,
ATL,Concourse E,1/17/2022,1900 - 2000,21,48,21,48,21,48,251,192,199,17,0,0,0,19,678,5,24,,,
ATL,Concourse F,1/17/2022,0500 - 0600,2,32,13,53,8,53,442,37,36,12,0,0,0,14,541,3,11,,,
ATL,Concourse F,1/17/2022,0600 - 0700,22,52,26,50,24,52,158,107,129,40,0,0,0,15,449,2,11,,,
ATL,Concourse F,1/17/2022,0900 - 1000,6,26,18,34,10,34,253,66,14,0,0,0,0,11,344,2,6,,,
ATL,Concourse F,1/17/2022,1000 - 1100,5,23,5,15,5,23,176,11,0,0,0,0,0,5,192,1,8,,,
ATL,Concourse F,1/17/2022,1100 - 1200,6,14,6,14,6,14,138,0,0,0,0,0,0,4,142,1,7,,,
ATL,Concourse F,1/17/2022,1200 - 1300,3,9,2,8,3,9,110,0,0,0,0,0,0,3,113,1,8,,,
ATL,Concourse F,1/17/2022,1300 - 1400,2,16,5,16,4,16,532,10,0,0,0,0,0,16,558,3,25,,,
ATL,Concourse F,1/17/2022,1400 - 1500,9,38,19,41,12,41,793,243,85,0,0,0,0,37,1158,6,27,,,
ATL,Concourse F,1/17/2022,1500 - 1600,15,38,19,41,17,41,335,255,102,0,0,0,0,20,712,4,19,,,
ATL,Concourse F,1/17/2022,1700 - 1800,6,17,5,15,6,17,531,13,0,0,0,0,0,12,556,3,15,,,
ATL,Concourse F,1/17/2022,1800 - 1900,6,28,10,23,7,28,274,32,0,0,0,0,0,7,313,2,12,,,
ATL,Concourse F,1/17/2022,1900 - 2000,7,23,6,20,7,23,444,95,0,0,0,0,0,16,555,4,15,,,
ATL,Concourse F,1/17/2022,2000 - 2100,4,18,6,18,4,18,816,35,0,0,0,0,0,20,871,6,23,,,
ATL,Concourse F,1/17/2022,2300 - 0000,1,8,3,9,2,9,30,0,0,0,0,0,0,1,31,1,3,,,
ATL,Concourse E,1/18/2022,1400 - 1500,2,16,4,18,3,18,256,4,0,0,0,0,0,9,269,2,24,,,
ATL,Concourse E,1/18/2022,1500 - 1600,6,29,10,43,8,43,154,37,3,0,0,0,0,6,200,1,17,,,
ATL,Concourse E,1/18/2022,1600 - 1700,5,23,9,23,6,23,406,49,0,0,0,0,0,15,470,6,19,,,
ATL,Concourse E,1/18/2022,1700 - 1800,14,44,19,44,15,44,374,124,127,0,0,0,0,17,642,4,21,,,
ATL,Concourse E,1/18/2022,1800 - 1900,18,79,25,79,19,79,414,564,141,38,6,0,0,33,1196,7,22,,,
ATL,Concourse E,1/18/2022,1900 - 2000,12,31,12,31,12,31,349,208,4,0,0,0,0,14,575,4,22,,,
ATL,Concourse F,1/18/2022,0500 - 0600,3,21,18,60,12,60,403,70,42,32,0,0,0,18,565,3,10,,,
ATL,Concourse F,1/18/2022,0600 - 0700,23,45,31,46,26,46,93,170,195,4,0,0,0,13,475,2,10,,,
ATL,Concourse F,1/18/2022,0800 - 0900,3,17,4,14,4,17,129,2,0,0,0,0,0,5,136,1,8,,,
ATL,Concourse F,1/18/2022,0900 - 1000,2,19,13,25,7,25,170,43,0,0,0,0,0,11,224,2,6,,,
ATL,Concourse F,1/18/2022,1000 - 1100,4,9,1,8,3,9,138,0,0,0,0,0,0,2,140,1,8,,,
ATL,Concourse F,1/18/2022,1100 - 1200,7,18,6,18,6,18,155,16,0,0,0,0,0,3,174,2,6,,,
ATL,Concourse F,1/18/2022,1200 - 1300,5,14,6,13,5,14,108,0,0,0,0,0,0,5,113,1,14,,,
ATL,Concourse F,1/18/2022,1300 - 1400,10,26,12,28,11,28,335,170,0,0,0,0,0,16,521,3,26,,,
ATL,Concourse F,1/18/2022,1400 - 1500,11,26,12,26,11,26,424,163,0,0,0,0,0,13,600,3,24,,,
ATL,Concourse F,1/18/2022,1500 - 1600,5,15,7,17,6,17,203,1,0,0,0,0,0,7,211,3,15,,,
ATL,Concourse F,1/18/2022,1600 - 1700,17,49,26,53,19,53,122,175,46,9,0,0,0,16,368,2,16,,,
ATL,Concourse F,1/18/2022,1700 - 1800,16,54,27,54,21,54,151,208,92,36,0,0,0,10,497,4,16,,,
ATL,Concourse F,1/18/2022,1800 - 1900,20,36,12,36,19,36,85,125,34,0,0,0,0,8,252,2,13,,,
ATL,Concourse F,1/18/2022,1900 - 2000,5,16,7,16,5,16,122,7,0,0,0,0,0,1,130,1,13,,,
ATL,Concourse F,1/18/2022,2000 - 2100,14,46,18,46,15,46,542,471,103,2,0,0,0,37,1155,7,22,,,
ATL,Concourse E,1/19/2022,0000 - 0100,1,11,2,12,1,12,69,0,0,0,0,0,0,2,71,1,3,,,
ATL,Concourse E,1/19/2022,1400 - 1500,3,22,5,22,4,22,237,28,0,0,0,0,0,5,270,2,18,,,
ATL,Concourse E,1/19/2022,1600 - 1700,6,33,11,47,7,47,446,49,17,1,0,0,0,16,529,7,17,,,
ATL,Concourse E,1/19/2022,1700 - 1800,5,18,4,15,5,18,220,10,0,0,0,0,0,7,237,2,16,,,
ATL,Concourse E,1/19/2022,1800 - 1900,9,28,11,34,9,34,683,257,1,0,0,0,0,27,968,7,22,,,
ATL,Concourse E,1/19/2022,1900 - 2000,10,30,9,34,10,34,429,137,3,0,0,0,0,15,584,5,21,,,
ATL,Concourse F,1/19/2022,0500 - 0600,3,31,8,51,5,51,291,14,5,2,0,0,0,10,322,2,9,,,
ATL,Concourse F,1/19/2022,0600 - 0700,16,46,35,74,26,74,243,175,172,66,47,0,0,18,721,3,12,,,
ATL,Concourse F,1/19/2022,0900 - 1000,3,27,14,31,11,31,94,40,4,0,0,0,0,1,139,2,8,,,
ATL,Concourse F,1/19/2022,1000 - 1100,1,9,3,9,2,9,75,0,0,0,0,0,0,2,77,1,8,,,
ATL,Concourse F,1/19/2022,1100 - 1200,2,6,6,12,4,12,56,0,0,0,0,0,0,2,58,1,5,,,
ATL,Concourse F,1/19/2022,1200 - 1300,2,10,7,12,4,12,75,0,0,0,0,0,0,2,77,1,10,,,
ATL,Concourse F,1/19/2022,1300 - 1400,10,49,22,53,16,53,424,289,123,11,0,0,0,26,873,5,22,,,
ATL,Concourse F,1/19/2022,1400 - 1500,12,21,13,21,12,21,77,62,0,0,0,0,0,1,140,1,13,,,
ATL,Concourse F,1/19/2022,1500 - 1600,3,14,5,14,4,14,207,0,0,0,0,0,0,6,213,4,10,,,
ATL,Concourse F,1/19/2022,1600 - 1700,16,55,27,60,22,60,141,116,74,43,0,0,0,11,385,2,12,,,
ATL,Concourse F,1/19/2022,1700 - 1800,11,21,10,21,11,21,155,75,0,0,0,0,0,3,233,2,10,,,
ATL,Concourse F,1/19/2022,1800 - 1900,10,26,12,25,11,26,184,84,0,0,0,0,0,8,276,3,13,,,
ATL,Concourse F,1/19/2022,1900 - 2000,6,13,5,13,5,13,48,0,0,0,0,0,0,3,51,1,12,,,
ATL,Concourse F,1/19/2022,2000 - 2100,6,28,12,29,7,29,604,148,0,0,0,0,0,25,777,7,22,,,
ATL,Concourse E,1/20/2022,1600 - 1700,6,28,13,33,9,33,540,176,4,0,0,0,0,20,740,7,22,,,
ATL,Concourse E,1/20/2022,1700 - 1800,15,63,19,42,16,63,250,247,60,0,1,0,0,16,574,5,20,,,
ATL,Concourse E,1/20/2022,1800 - 1900,7,25,11,23,8,25,519,81,0,0,0,0,0,16,616,5,20,,,
ATL,Concourse E,1/20/2022,1900 - 2000,4,18,6,18,4,18,450,12,0,0,0,0,0,12,474,4,18,,,
ATL,Concourse F,1/20/2022,0500 - 0600,4,29,26,92,18,92,316,96,26,27,41,3,0,17,526,3,11,,,
ATL,Concourse F,1/20/2022,0600 - 0700,22,56,55,98,38,98,125,114,78,34,97,30,0,9,487,2,10,,,
ATL,Concourse F,1/20/2022,0900 - 1000,3,18,14,30,10,30,74,33,0,0,0,0,0,3,110,2,6,,,
ATL,Concourse F,1/20/2022,1000 - 1100,1,8,4,12,2,12,95,0,0,0,0,0,0,3,98,2,5,,,
ATL,Concourse F,1/20/2022,1200 - 1300,1,5,3,9,2,9,92,0,0,0,0,0,0,3,95,1,13,,,
ATL,Concourse F,1/20/2022,1300 - 1400,5,30,10,29,7,30,412,79,0,0,0,0,0,15,506,3,22,,,
ATL,Concourse F,1/20/2022,1400 - 1500,11,48,24,53,15,53,418,201,59,45,0,0,0,21,744,5,23,,,
ATL,Concourse F,1/20/2022,1500 - 1600,2,8,8,19,5,19,145,15,0,0,0,0,0,3,163,2,14,,,
ATL,Concourse F,1/20/2022,1600 - 1700,12,39,19,41,15,41,150,104,38,0,0,0,0,15,307,2,15,,,
ATL,Concourse F,1/20/2022,1700 - 1800,11,39,20,42,14,42,263,148,51,0,0,0,0,12,474,4,11,,,
ATL,Concourse F,1/20/2022,1800 - 1900,13,36,17,45,15,45,140,59,34,0,0,0,0,8,241,2,13,,,
ATL,Concourse F,1/20/2022,1900 - 2000,3,15,9,22,5,22,297,15,0,0,0,0,0,10,322,5,12,,,
ATL,Concourse F,1/20/2022,2000 - 2100,4,13,7,13,4,13,247,0,0,0,0,0,0,13,260,4,15,,,
ATL,Concourse E,1/21/2022,1400 - 1500,5,11,3,10,4,11,108,0,0,0,0,0,0,0,108,1,14,,,
ATL,Concourse E,1/21/2022,1600 - 1700,7,54,6,47,7,54,322,20,12,11,0,0,0,8,373,6,13,,,
ATL,Concourse E,1/21/2022,1700 - 1800,7,32,10,29,8,32,330,72,3,0,0,0,0,9,414,4,14,,,
ATL,Concourse E,1/21/2022,1800 - 1900,11,36,11,36,11,36,549,211,4,0,0,0,0,22,786,6,18,,,
ATL,Concourse E,1/21/2022,1900 - 2000,8,32,11,32,9,32,444,146,5,0,0,0,0,23,618,6,18,,,
ATL,Concourse E,1/21/2022,2000 - 2100,3,12,3,11,3,12,94,0,0,0,0,0,0,3,97,1,17,,,
ATL,Concourse F,1/21/2022,0500 - 0600,2,14,11,26,8,26,216,57,0,0,0,0,0,6,279,2,9,,,
ATL,Concourse F,1/21/2022,0600 - 0700,12,46,35,68,25,68,233,166,108,91,33,0,0,17,648,3,9,,,
ATL,Concourse F,1/21/2022,0800 - 0900,4,12,11,19,7,19,143,20,0,0,0,0,0,3,166,1,7,,,
ATL,Concourse F,1/21/2022,0900 - 1000,2,14,8,15,5,15,102,0,0,0,0,0,0,5,107,2,6,,,
ATL,Concourse F,1/21/2022,1000 - 1100,2,12,5,10,2,12,112,0,0,0,0,0,0,5,117,2,5,,,
ATL,Concourse F,1/21/2022,1200 - 1300,1,7,4,10,2,10,94,0,0,0,0,0,0,0,94,1,8,,,
ATL,Concourse F,1/21/2022,1300 - 1400,1,11,3,11,2,11,266,0,0,0,0,0,0,2,268,3,19,,,
ATL,Concourse F,1/21/2022,1400 - 1500,10,35,12,35,11,35,522,178,49,0,0,0,0,21,770,5,21,,,
ATL,Concourse F,1/21/2022,1500 - 1600,6,17,7,17,6,17,255,17,0,0,0,0,0,8,280,2,13,,,
ATL,Concourse F,1/21/2022,1600 - 1700,18,54,25,60,21,60,220,140,127,40,0,0,0,16,543,4,14,,,
ATL,Concourse F,1/21/2022,1700 - 1800,13,39,20,43,17,43,101,92,31,0,0,0,0,8,232,2,11,,,
ATL,Concourse F,1/21/2022,1800 - 1900,18,35,26,38,20,38,60,129,40,0,0,0,0,3,232,2,11,,,
ATL,Concourse F,1/21/2022,1900 - 2000,14,32,10,32,13,32,261,239,9,0,0,0,0,16,525,5,12,,,
ATL,Concourse F,1/21/2022,2000 - 2100,5,20,9,20,6,20,590,52,0,0,0,0,0,22,664,6,17,,,
ATL,Concourse E,1/22/2022,1400 - 1500,3,13,12,24,8,24,192,55,0,0,0,0,0,8,255,1,19,,,
ATL,Concourse E,1/22/2022,1500 - 1600,4,14,5,14,4,14,187,0,0,0,0,0,0,5,192,1,14,,,
ATL,Concourse E,1/22/2022,1600 - 1700,11,45,13,41,11,45,583,212,78,0,0,0,0,24,897,7,18,,,
ATL,Concourse E,1/22/2022,1700 - 1800,14,42,17,42,15,42,253,177,77,0,0,0,0,17,524,4,16,,,
ATL,Concourse E,1/22/2022,1800 - 1900,12,31,11,28,12,31,428,252,3,0,0,0,0,23,706,5,14,,,
ATL,Concourse E,1/22/2022,1900 - 2000,13,59,14,42,13,59,747,299,176,6,0,0,0,51,1279,9,16,,,
ATL,Concourse F,1/22/2022,0500 - 0600,4,16,6,16,5,16,318,2,0,0,0,0,0,11,331,2,12,,,
ATL,Concourse F,1/22/2022,0600 - 0700,15,40,20,38,17,40,212,158,93,0,0,0,0,12,475,2,12,,,
ATL,Concourse F,1/22/2022,0800 - 0900,2,9,13,27,10,27,158,80,0,0,0,0,0,8,246,1,10,,,
ATL,Concourse F,1/22/2022,0900 - 1000,3,13,8,20,6,20,202,23,0,0,0,0,0,4,229,2,8,,,
ATL,Concourse F,1/22/2022,1000 - 1100,2,7,0,5,2,7,125,0,0,0,0,0,0,4,129,2,9,,,
ATL,Concourse F,1/22/2022,1100 - 1200,8,19,9,19,9,19,71,4,0,0,0,0,0,2,77,1,8,,,
ATL,Concourse F,1/22/2022,1200 - 1300,3,9,2,9,2,9,172,0,0,0,0,0,0,3,175,2,10,,,
ATL,Concourse F,1/22/2022,1300 - 1400,1,13,2,13,1,13,477,0,0,0,0,0,0,15,492,5,25,,,
ATL,Concourse F,1/22/2022,1400 - 1500,9,33,10,43,9,43,499,142,24,0,0,0,0,16,681,4,23,,,
ATL,Concourse F,1/22/2022,1500 - 1600,1,12,5,13,3,13,244,0,0,0,0,0,0,9,253,2,14,,,
ATL,Concourse F,1/22/2022,1600 - 1700,7,15,4,15,5,15,41,0,0,0,0,0,0,1,42,1,10,,,
ATL,Concourse F,1/22/2022,1800 - 1900,6,27,9,27,7,27,277,87,0,0,0,0,0,10,374,3,14,,,
ATL,Concourse F,1/22/2022,1900 - 2000,6,18,7,17,6,18,275,11,0,0,0,0,0,13,299,2,13,,,
ATL,Concourse F,1/22/2022,2000 - 2100,11,32,19,33,13,33,650,356,32,0,0,0,0,54,1092,8,17,,,
ATL,Concourse F,1/22/2022,2100 - 2200,7,13,7,13,7,13,151,0,0,0,0,0,0,6,157,1,16,,,
ATL,Concourse E,1/23/2022,1400 - 1500,1,11,0,2,0,11,115,0,0,0,0,0,0,4,119,1,19,,,
ATL,Concourse E,1/23/2022,1500 - 1600,0,6,2,6,1,6,70,0,0,0,0,0,0,3,73,1,15,,,
ATL,Concourse E,1/23/2022,1600 - 1700,4,16,5,15,4,16,365,4,0,0,0,0,0,4,373,3,19,,,
ATL,Concourse E,1/23/2022,1700 - 1800,12,38,11,37,12,38,785,397,87,0,0,0,0,38,1307,9,19,,,
ATL,Concourse E,1/23/2022,1800 - 1900,21,57,24,57,22,57,326,200,202,77,0,0,0,24,829,5,22,,,
ATL,Concourse E,1/23/2022,1900 - 2000,18,39,20,35,19,39,278,291,116,0,0,0,0,31,716,5,22,,,
ATL,Concourse F,1/23/2022,0500 - 0600,6,32,12,34,9,34,507,179,16,0,0,0,0,22,724,4,13,,,
ATL,Concourse F,1/23/2022,0600 - 0700,15,27,20,27,18,27,64,159,0,0,0,0,0,8,231,1,13,,,
ATL,Concourse F,1/23/2022,0800 - 0900,2,11,3,12,3,12,273,0,0,0,0,0,0,8,281,2,11,,,
ATL,Concourse F,1/23/2022,0900 - 1000,3,10,5,9,4,10,154,0,0,0,0,0,0,2,156,1,11,,,
ATL,Concourse F,1/23/2022,1000 - 1100,4,14,1,12,3,14,302,0,0,0,0,0,0,8,310,3,12,,,
ATL,Concourse F,1/23/2022,1100 - 1200,2,11,3,11,3,11,88,0,0,0,0,0,0,3,91,1,9,,,
ATL,Concourse F,1/23/2022,1200 - 1300,5,15,4,13,4,15,222,0,0,0,0,0,0,6,228,2,18,,,
ATL,Concourse F,1/23/2022,1300 - 1400,3,25,10,26,7,26,395,42,0,0,0,0,0,11,448,2,21,,,
ATL,Concourse F,1/23/2022,1400 - 1500,6,20,9,20,7,20,527,49,0,0,0,0,0,12,588,3,25,,,
ATL,Concourse F,1/23/2022,1500 - 1600,1,15,6,18,3,18,574,7,0,0,0,0,0,19,600,5,18,,,
ATL,Concourse F,1/23/2022,1600 - 1700,2,5,6,14,4,14,67,0,0,0,0,0,0,2,69,1,11,,,
ATL,Concourse F,1/23/2022,1700 - 1800,1,6,2,5,1,6,132,0,0,0,0,0,0,5,137,1,7,,,
ATL,Concourse F,1/23/2022,1800 - 1900,6,26,11,26,7,26,260,42,0,0,0,0,0,9,311,2,12,,,
ATL,Concourse F,1/23/2022,1900 - 2000,9,26,25,51,13,51,377,119,37,19,0,0,0,16,568,4,16,,,
ATL,Concourse F,1/23/2022,2000 - 2100,9,24,12,26,9,26,724,126,0,0,0,0,0,39,889,6,18,,,
ATL,Concourse F,1/23/2022,2100 - 2200,9,21,8,22,8,22,156,30,0,0,0,0,0,9,195,1,21,,,
ATL,Concourse E,1/24/2022,1400 - 1500,4,18,14,22,6,22,168,28,0,0,0,0,0,5,201,1,16,,,
ATL,Concourse E,1/24/2022,1500 - 1600,4,34,18,44,11,44,198,66,39,0,0,0,0,10,313,2,10,,,
ATL,Concourse E,1/24/2022,1600 - 1700,6,47,23,72,11,72,605,118,28,33,21,0,0,26,831,7,19,,,
ATL,Concourse E,1/24/2022,1700 - 1800,11,49,19,50,13,50,335,126,41,7,0,0,0,14,523,3,17,,,
ATL,Concourse E,1/24/2022,1800 - 1900,19,55,28,61,21,61,500,510,352,71,2,0,0,39,1474,9,22,,,
ATL,Concourse E,1/24/2022,1900 - 2000,13,33,20,54,15,54,198,103,12,17,0,0,0,17,347,3,21,,,
ATL,Concourse F,1/24/2022,0500 - 0600,2,13,6,15,4,15,333,0,0,0,0,0,0,11,344,2,13,,,
ATL,Concourse F,1/24/2022,0600 - 0700,11,35,10,31,10,35,442,191,11,0,0,0,0,12,656,3,13,,,
ATL,Concourse F,1/24/2022,0800 - 0900,4,14,9,22,8,22,95,18,0,0,0,0,0,4,117,1,8,,,
ATL,Concourse F,1/24/2022,0900 - 1000,7,12,5,12,7,12,136,0,0,0,0,0,0,0,136,1,8,,,
ATL,Concourse F,1/24/2022,1000 - 1100,2,15,2,10,2,15,214,0,0,0,0,0,0,8,222,2,8,,,
ATL,Concourse F,1/24/2022,1200 - 1300,2,9,3,10,3,10,179,0,0,0,0,0,0,6,185,2,16,,,
ATL,Concourse F,1/24/2022,1300 - 1400,2,16,6,16,4,16,533,4,0,0,0,0,0,16,553,3,21,,,
ATL,Concourse F,1/24/2022,1400 - 1500,6,26,12,38,10,38,491,113,20,0,0,0,0,21,645,4,21,,,
ATL,Concourse F,1/24/2022,1500 - 1600,19,53,38,55,27,55,36,62,32,22,0,0,0,5,157,1,11,,,
ATL,Concourse F,1/24/2022,1600 - 1700,18,76,38,76,31,76,83,62,66,62,30,0,0,10,313,3,11,,,
ATL,Concourse F,1/24/2022,1700 - 1800,9,28,9,9,9,28,105,10,0,0,0,0,0,4,119,1,7,,,
ATL,Concourse F,1/24/2022,1800 - 1900,9,45,28,48,13,48,164,69,29,5,0,0,0,8,275,3,11,,,
ATL,Concourse F,1/24/2022,1900 - 2000,8,32,29,50,14,50,354,80,30,28,0,0,0,24,516,4,18,,,
ATL,Concourse F,1/24/2022,2000 - 2100,7,16,9,16,7,16,495,13,0,0,0,0,0,25,533,4,20,,,
ATL,Concourse E,1/25/2022,1600 - 1700,4,20,8,32,6,32,529,44,1,0,0,0,0,18,592,7,17,,,
ATL,Concourse E,1/25/2022,1700 - 1800,10,38,18,42,12,42,372,145,32,0,0,0,0,18,567,4,14,,,
ATL,Concourse E,1/25/2022,1800 - 1900,17,45,18,43,17,45,489,476,204,0,0,0,0,32,1201,9,17,,,
ATL,Concourse E,1/25/2022,1900 - 2000,4,16,6,16,4,16,336,5,0,0,0,0,0,11,352,3,19,,,
ATL,Concourse F,1/25/2022,0500 - 0600,3,24,11,37,7,37,400,60,17,0,0,0,0,15,492,3,11,,,
ATL,Concourse F,1/25/2022,0600 - 0700,18,49,20,33,19,49,151,239,37,3,0,0,0,9,439,2,13,,,
ATL,Concourse F,1/25/2022,0800 - 0900,5,14,8,17,7,17,59,6,0,0,0,0,0,3,68,1,13,,,
ATL,Concourse F,1/25/2022,0900 - 1000,4,12,7,15,5,15,178,0,0,0,0,0,0,7,185,2,11,,,
ATL,Concourse F,1/25/2022,1000 - 1100,1,8,1,6,1,8,133,0,0,0,0,0,0,5,138,2,14,,,
ATL,Concourse F,1/25/2022,1100 - 1200,1,8,2,8,1,8,63,0,0,0,0,0,0,0,63,1,7,,,
ATL,Concourse F,1/25/2022,1200 - 1300,8,28,15,28,12,28,56,35,0,0,0,0,0,2,93,1,5,,,
ATL,Concourse F,1/25/2022,1300 - 1400,5,21,9,21,7,21,403,46,0,0,0,0,0,12,461,3,20,,,
ATL,Concourse F,1/25/2022,1400 - 1500,4,17,6,17,5,17,325,6,0,0,0,0,0,12,343,2,17,,,
ATL,Concourse F,1/25/2022,1500 - 1600,12,60,28,65,20,65,359,241,95,95,4,0,0,19,813,6,13,,,
ATL,Concourse F,1/25/2022,1600 - 1700,7,34,27,45,12,45,137,9,22,0,0,0,0,2,170,3,9,,,
ATL,Concourse F,1/25/2022,1700 - 1800,22,63,30,65,26,65,44,85,51,19,7,0,0,5,211,2,10,,,
ATL,Concourse F,1/25/2022,1900 - 2000,3,10,3,10,3,10,116,0,0,0,0,0,0,5,121,2,10,,,
ATL,Concourse F,1/25/2022,2000 - 2100,3,18,10,24,5,24,532,38,0,0,0,0,0,12,582,5,15,,,
ATL,Concourse E,1/26/2022,1400 - 1500,4,26,12,28,7,28,118,33,0,0,0,0,0,6,157,1,16,,,
ATL,Concourse E,1/26/2022,1500 - 1600,8,27,7,17,8,27,189,36,0,0,0,0,0,8,233,2,14,,,
ATL,Concourse E,1/26/2022,1600 - 1700,3,24,6,31,4,31,413,16,3,0,0,0,0,13,445,8,15,,,
ATL,Concourse E,1/26/2022,1700 - 1800,1,9,0,3,1,9,44,0,0,0,0,0,0,2,46,1,7,,,
ATL,Concourse E,1/26/2022,1800 - 1900,18,45,17,45,18,45,395,435,196,0,0,0,0,30,1056,8,18,,,
ATL,Concourse E,1/26/2022,1900 - 2000,14,37,14,37,14,37,283,207,31,0,0,0,0,16,537,5,20,,,
